"topic","rank","term","score"
1,1,"inflat",0.0740209597352454
1,2,"energi",0.0607832322118036
1,3,"price",0.0596800882515168
1,4,"signific",0.0309983452840596
1,5,"tighten",0.0309983452840596
1,6,"econom",0.0276889134031991
1,7,"expand",0.0265857694429123
1,8,"level",0.0265857694429123
1,9,"monitor",0.0243794815223387
1,10,"activ",0.0243794815223387
2,1,"continu",0.0660927785748446
2,2,"inflat",0.0593974175035868
2,3,"pace",0.0565279770444763
2,4,"purchas",0.052702056432329
2,5,"recoveri",0.0450502152080344
2,6,"asset",0.0431372549019608
2,7,"polici",0.0393113342898135
2,8,"global",0.0373983739837398
2,9,"moder",0.0373983739837398
2,10,"converg",0.0297465327594452
2,11,"sign",0.0297465327594452
2,12,"sustain",0.0297465327594452
3,1,"growth",0.100381471389646
3,2,"risk",0.0873024523160763
3,3,"rate",0.0502452316076294
3,4,"expect",0.0480653950953678
3,5,"core",0.0404359673024523
3,6,"gradual",0.0328065395095368
3,7,"geopolit",0.031716621253406
3,8,"tension",0.0306267029972752
3,9,"downsid",0.0284468664850136
3,10,"uncertainti",0.0273569482288828
4,1,"uncertainti",0.0780686445607912
4,2,"pressur",0.0524723676556137
4,3,"reflect",0.0501454333915067
4,4,"price",0.0408376963350785
4,5,"pandem",0.0361838278068645
4,6,"increas",0.0326934264107039
4,7,"programm",0.0315299592786504
4,8,"sever",0.0268760907504363
4,9,"effect",0.0257126236183828
4,10,"low",0.0245491564863293
