topic,rank,term,score
0,1,the,0.0739
0,2,continues,0.0649
0,3,to,0.0632
0,4,inflation,0.0618
0,5,of,0.0608
0,6,remains,0.0596
0,7,recovery,0.0558
0,8,growth,0.0544
0,9,our,0.0543
0,10,pace,0.054
1,1,to,0.0922
1,2,the,0.0814
1,3,inflation,0.0618
1,4,energy,0.0611
1,5,is,0.0592
1,6,headline,0.0551
1,7,raise,0.0529
1,8,markets,0.0529
1,9,disruptions,0.0529
1,10,labour,0.0529
2,1,to,0.1093
2,2,the,0.0906
2,3,expected,0.0764
2,4,are,0.0762
2,5,disinflation,0.0726
2,6,is,0.0693
2,7,meeting,0.0688
2,8,growth,0.0612
2,9,gradually,0.0563
2,10,as,0.0548
3,1,the,0.1656
3,2,pandemic,0.0986
3,3,severity,0.086
3,4,high,0.082
3,5,subject,0.082
3,6,to,0.0744
3,7,measures,0.0656
3,8,and,0.0654
3,9,reflect,0.0612
3,10,downturn,0.0612
4,1,business,0.0904
4,2,investment,0.0904
4,3,strengthened,0.0904
4,4,continue,0.0794
4,5,gradually,0.0783
4,6,as,0.0711
4,7,our,0.0678
4,8,has,0.0673
4,9,remains,0.0669
4,10,asset,0.0629
