"topic","rank","term","score"
1,1,"inflat",NA
1,2,"energi",NA
1,3,"price",NA
1,4,"signific",NA
1,5,"tighten",NA
1,6,"continu",NA
1,7,"risk",NA
1,8,"headlin",NA
1,9,"disrupt",NA
1,10,"labour",NA
2,1,"inflat",NA
2,2,"uncertainti",NA
2,3,"continu",NA
2,4,"growth",NA
2,5,"price",NA
2,6,"pace",NA
2,7,"risk",NA
2,8,"recoveri",NA
2,9,"purchas",NA
2,10,"asset",NA
3,1,"pandem",NA
3,2,"sever",NA
3,3,"subject",NA
3,4,"uncertainti",NA
3,5,"price",NA
3,6,"measur",NA
3,7,"pressur",NA
3,8,"reflect",NA
3,9,"disinflationari",NA
3,10,"downturn",NA
4,1,"growth",NA
4,2,"rate",NA
4,3,"expect",NA
4,4,"disinfl",NA
4,5,"gradual",NA
4,6,"meet",NA
4,7,"inflat",NA
4,8,"uncertainti",NA
4,9,"lag",NA
4,10,"process",NA
