enseignant_id,ecole_id,ief_id,ia_id,region,milieu,genre,statut,corps,anciennete,attendance_prop
T000001,E00001,IEF050,IA13,Tambacounda,rural,F,fonctionnaire,instituteur,0,0.74862509290321
T000002,E00001,IEF050,IA13,Tambacounda,rural,F,fonctionnaire,instituteur,2,0.6688340839914899
T000003,E00001,IEF050,IA13,Tambacounda,rural,H,contractuel,instituteur adjoint,19,0.5006866027026762
T000004,E00001,IEF050,IA13,Tambacounda,rural,F,contractuel,vacataire,6,0.5314736512183659
T000005,E00002,IEF014,IA04,Thiès,rural,F,fonctionnaire,instituteur,11,0.9539187218638927
T000006,E00002,IEF014,IA04,Thiès,rural,H,contractuel,vacataire,5,0.8606039552219225
T000007,E00002,IEF014,IA04,Thiès,rural,H,contractuel,instituteur adjoint,4,0.9226053665615426
T000008,E00002,IEF014,IA04,Thiès,rural,H,fonctionnaire,instituteur adjoint,13,0.8964463654623762
T000009,E00002,IEF014,IA04,Thiès,rural,H,contractuel,instituteur,0,0.8374226658311521
T000010,E00003,IEF050,IA13,Tambacounda,rural,F,fonctionnaire,vacataire,0,0.7471197313789527
T000011,E00003,IEF050,IA13,Tambacounda,rural,H,contractuel,instituteur adjoint,6,0.453229453843956
T000012,E00003,IEF050,IA13,Tambacounda,rural,F,fonctionnaire,instituteur,18,0.7790882516448693
T000013,E00004,IEF016,IA04,Thiès,urbain,F,contractuel,instituteur,5,0.8629115624243715
T000014,E00004,IEF016,IA04,Thiès,urbain,H,fonctionnaire,instituteur adjoint,12,0.8548344019472415
T000015,E00004,IEF016,IA04,Thiès,urbain,H,fonctionnaire,instituteur adjoint,13,0.9515297750200596
T000016,E00004,IEF016,IA04,Thiès,urbain,H,contractuel,instituteur,8,0.7169432044413535
T000017,E00004,IEF016,IA04,Thiès,urbain,F,fonctionnaire,instituteur adjoint,4,0.9546531807499821
T000018,E00004,IEF016,IA04,Thiès,urbain,H,fonctionnaire,instituteur,16,0.9321668033086917
T000019,E00004,IEF016,IA04,Thiès,urbain,H,fonctionnaire,vacataire,13,0.9157309252482535
T000020,E00004,IEF016,IA04,Thiès,urbain,F,fonctionnaire,instituteur,5,0.916947617351807
T000021,E00005,IEF035,IA08,Louga,rural,H,fonctionnaire,instituteur,13,0.653293374970218
T000022,E00005,IEF035,IA08,Louga,rural,F,fonctionnaire,instituteur,23,0.6951278061387091
T000023,E00005,IEF035,IA08,Louga,rural,H,fonctionnaire,instituteur,15,0.626522119167408
T000024,E00005,IEF035,IA08,Louga,rural,H,fonctionnaire,instituteur,7,0.6268042694313715
