ief_id,ia_id,ia_name,region,remoteness,g_ia,reform,ief_effect
IEF001,IA01,Dakar,Dakar,0.05,1.1358119908378483,0,-0.3499273505312711
IEF002,IA01,Dakar,Dakar,0.05,1.1358119908378483,0,-0.5868971362215678
IEF003,IA01,Dakar,Dakar,0.05,1.1358119908378483,0,-1.5898776485547115
IEF004,IA01,Dakar,Dakar,0.05,1.1358119908378483,0,1.689559554478078
IEF005,IA02,Pikine-Guédiawaye,Dakar,0.05,-0.6770804424361538,1,0.5635836405531154
IEF006,IA02,Pikine-Guédiawaye,Dakar,0.05,-0.6770804424361538,1,2.6676333910661167
IEF007,IA02,Pikine-Guédiawaye,Dakar,0.05,-0.6770804424361538,1,0.35653495020654297
IEF008,IA02,Pikine-Guédiawaye,Dakar,0.05,-0.6770804424361538,1,-0.3621203918588307
IEF009,IA03,Rufisque,Dakar,0.05,0.46256507759004684,0,0.5687463271242291
IEF010,IA03,Rufisque,Dakar,0.05,0.46256507759004684,0,0.028674535806565937
IEF011,IA03,Rufisque,Dakar,0.05,0.46256507759004684,0,0.1990233856571336
IEF012,IA03,Rufisque,Dakar,0.05,0.46256507759004684,0,-0.8514222791158281
IEF013,IA04,Thiès,Thiès,0.15,1.0504362281327961,0,-1.1304494696840526
IEF014,IA04,Thiès,Thiès,0.15,1.0504362281327961,0,0.597248963746674
IEF015,IA04,Thiès,Thiès,0.15,1.0504362281327961,0,-1.0960478553026407
IEF016,IA04,Thiès,Thiès,0.15,1.0504362281327961,0,0.01909654917514469
IEF017,IA04,Thiès,Thiès,0.15,1.0504362281327961,0,0.4161989798572152
IEF018,IA04,Thiès,Thiès,0.15,1.0504362281327961,0,1.839675695915115
IEF019,IA04,Thiès,Thiès,0.15,1.0504362281327961,0,0.4061865653228522
IEF020,IA05,Diourbel,Diourbel,0.3,-1.961883486465059,0,0.3932217475238377
IEF021,IA05,Diourbel,Diourbel,0.3,-1.961883486465059,0,0.10955641117140437
IEF022,IA05,Diourbel,Diourbel,0.3,-1.961883486465059,0,-0.4134188533806319
IEF023,IA05,Diourbel,Diourbel,0.3,-1.961883486465059,0,0.1117959092790192
IEF024,IA05,Diourbel,Diourbel,0.3,-1.961883486465059,0,-2.89232139833262
IEF025,IA06,Saint-Louis,Saint-Louis,0.35,-0.09886818526410894,0,0.09534935373040888
IEF026,IA06,Saint-Louis,Saint-Louis,0.35,-0.09886818526410894,0,0.49988989751365537
IEF027,IA06,Saint-Louis,Saint-Louis,0.35,-0.09886818526410894,0,0.949372149400778
IEF028,IA06,Saint-Louis,Saint-Louis,0.35,-0.09886818526410894,0,-1.6584009589402293
IEF029,IA07,Kaolack,Kaolack,0.3,0.7594385270695994,0,-1.481619640758723
IEF030,IA07,Kaolack,Kaolack,0.3,0.7594385270695994,0,-0.4906862327461932
IEF031,IA07,Kaolack,Kaolack,0.3,0.7594385270695994,0,0.014753903421311736
IEF032,IA07,Kaolack,Kaolack,0.3,0.7594385270695994,0,0.3376374748206235
IEF033,IA08,Louga,Louga,0.45,-0.5589055756131087,0,-1.965905696172405
IEF034,IA08,Louga,Louga,0.45,-0.5589055756131087,0,-2.3207746068026323
IEF035,IA08,Louga,Louga,0.45,-0.5589055756131087,0,0.9958108211774965
IEF036,IA09,Fatick,Fatick,0.4,1.508379536169013,1,1.1669515787289226
IEF037,IA09,Fatick,Fatick,0.4,1.508379536169013,1,-0.8651748349735274
IEF038,IA09,Fatick,Fatick,0.4,1.508379536169013,1,-1.390946513569097
IEF039,IA10,Kaffrine,Kaffrine,0.55,-1.7249192939776967,1,-1.332630847294145
IEF040,IA10,Kaffrine,Kaffrine,0.55,-1.7249192939776967,1,-0.1388397558109453
IEF041,IA10,Kaffrine,Kaffrine,0.55,-1.7249192939776967,1,0.31771647692565824
IEF042,IA11,Ziguinchor,Ziguinchor,0.55,0.5436260064330518,1,0.09332094674687035
IEF043,IA11,Ziguinchor,Ziguinchor,0.55,0.5436260064330518,1,0.03781619554363153
IEF044,IA11,Ziguinchor,Ziguinchor,0.55,0.5436260064330518,1,-0.6339810327435095
IEF045,IA12,Kolda,Kolda,0.7,0.8036427494500231,0,-1.432219330403182
IEF046,IA12,Kolda,Kolda,0.7,0.8036427494500231,0,-0.3584819723018034
IEF047,IA12,Kolda,Kolda,0.7,0.8036427494500231,0,0.8692594740041972
IEF048,IA13,Tambacounda,Tambacounda,0.75,-0.5950300302811243,1,-1.2870708589133515
IEF049,IA13,Tambacounda,Tambacounda,0.75,-0.5950300302811243,1,0.10831608168981055
IEF050,IA13,Tambacounda,Tambacounda,0.75,-0.5950300302811243,1,-0.9304449072754517
IEF051,IA14,Matam,Matam,0.65,0.361886464303974,0,0.10403354045954573
IEF052,IA14,Matam,Matam,0.65,0.361886464303974,0,-0.6415822632825328
IEF053,IA15,Sédhiou,Sédhiou,0.7,-0.5128143979953421,1,-1.6637734035387284
IEF054,IA15,Sédhiou,Sédhiou,0.7,-0.5128143979953421,1,0.5471627551526171
IEF055,IA16,Kédougou,Kédougou,0.9,-0.4962851679537585,0,0.0755532240045896
