region,remoteness,pop_6_11_total,pop_6_11_filles,pop_6_11_garcons,part_age_officiel
Dakar,0.05,164897,80800,84097,0.8
Diourbel,0.3,65158,31927,33231,0.8
Fatick,0.4,49918,24460,25458,0.8
Kaffrine,0.55,37260,18257,19003,0.8
Kaolack,0.3,57322,28088,29234,0.8
Kolda,0.7,43301,21217,22084,0.8
Kédougou,0.9,15909,7795,8114,0.8
Louga,0.45,48043,23541,24502,0.8
Matam,0.65,30944,15163,15781,0.8
Saint-Louis,0.35,55778,27331,28447,0.8
Sédhiou,0.7,30560,14974,15586,0.8
Tambacounda,0.75,56320,27597,28723,0.8
Thiès,0.15,106526,52198,54328,0.8
Ziguinchor,0.55,43353,21243,22110,0.8
