centre_id,region,milieu,type,remoteness,enrol
P00001,Fatick,urbain,public,0.4,29
P00002,Dakar,urbain,prive,0.05,74
P00003,Thiès,urbain,prive,0.15,59
P00004,Thiès,urbain,prive,0.15,67
P00005,Thiès,urbain,public,0.15,26
P00006,Saint-Louis,urbain,CTP,0.35,49
P00007,Kédougou,rural,public,0.9,88
P00008,Thiès,urbain,CTP,0.15,35
P00009,Fatick,rural,CTP,0.4,32
P00010,Ziguinchor,rural,CTP,0.55,20
P00011,Kaffrine,rural,CTP,0.55,55
P00012,Ziguinchor,rural,public,0.55,33
P00013,Kaolack,urbain,prive,0.3,80
P00014,Louga,rural,CTP,0.45,32
P00015,Ziguinchor,rural,public,0.55,81
P00016,Dakar,urbain,public,0.05,58
P00017,Thiès,rural,CTP,0.15,42
P00018,Ziguinchor,rural,CTP,0.55,47
P00019,Diourbel,urbain,public,0.3,86
P00020,Matam,rural,public,0.65,32
P00021,Thiès,urbain,public,0.15,68
P00022,Matam,rural,CTP,0.65,46
P00023,Kaolack,urbain,public,0.3,82
P00024,Thiès,urbain,public,0.15,59
P00025,Diourbel,urbain,prive,0.3,62
P00026,Dakar,urbain,CTP,0.05,34
P00027,Sédhiou,rural,public,0.7,85
P00028,Kaolack,rural,CTP,0.3,30
P00029,Thiès,urbain,prive,0.15,81
P00030,Dakar,urbain,CTP,0.05,26
P00031,Diourbel,rural,CTP,0.3,21
P00032,Thiès,urbain,public,0.15,75
P00033,Ziguinchor,rural,prive,0.55,83
P00034,Saint-Louis,urbain,prive,0.35,47
P00035,Kolda,rural,public,0.7,99
P00036,Thiès,urbain,prive,0.15,44
P00037,Kaolack,rural,public,0.3,68
P00038,Thiès,rural,CTP,0.15,45
P00039,Thiès,urbain,prive,0.15,33
P00040,Fatick,rural,CTP,0.4,22
P00041,Kédougou,urbain,CTP,0.9,23
P00042,Dakar,urbain,prive,0.05,63
P00043,Louga,rural,CTP,0.45,25
P00044,Louga,urbain,public,0.45,101
P00045,Ziguinchor,urbain,CTP,0.55,32
P00046,Dakar,urbain,prive,0.05,31
P00047,Kolda,urbain,public,0.7,83
P00048,Saint-Louis,urbain,public,0.35,92
P00049,Kédougou,rural,CTP,0.9,25
P00050,Diourbel,rural,CTP,0.3,44
P00051,Fatick,rural,public,0.4,56
P00052,Thiès,urbain,CTP,0.15,68
P00053,Matam,urbain,CTP,0.65,28
P00054,Dakar,urbain,public,0.05,80
P00055,Thiès,urbain,CTP,0.15,29
P00056,Dakar,rural,public,0.05,69
P00057,Diourbel,urbain,public,0.3,91
P00058,Dakar,urbain,CTP,0.05,44
P00059,Dakar,urbain,CTP,0.05,45
P00060,Thiès,urbain,public,0.15,43
P00061,Dakar,urbain,public,0.05,34
P00062,Fatick,urbain,public,0.4,58
P00063,Saint-Louis,rural,public,0.35,55
P00064,Kaolack,rural,public,0.3,35
P00065,Thiès,rural,public,0.15,56
P00066,Ziguinchor,urbain,CTP,0.55,25
P00067,Thiès,rural,public,0.15,56
P00068,Thiès,rural,CTP,0.15,81
P00069,Kaolack,rural,public,0.3,114
P00070,Matam,urbain,CTP,0.65,42
P00071,Diourbel,urbain,public,0.3,61
P00072,Kaffrine,urbain,prive,0.55,36
P00073,Dakar,rural,CTP,0.05,32
P00074,Saint-Louis,urbain,public,0.35,32
P00075,Thiès,urbain,public,0.15,77
P00076,Thiès,urbain,public,0.15,78
P00077,Fatick,urbain,public,0.4,60
P00078,Diourbel,urbain,public,0.3,62
P00079,Kaolack,urbain,CTP,0.3,26
P00080,Kaffrine,rural,public,0.55,84
P00081,Dakar,urbain,prive,0.05,58
P00082,Tambacounda,rural,CTP,0.75,72
P00083,Kolda,rural,public,0.7,43
P00084,Dakar,urbain,CTP,0.05,36
P00085,Matam,urbain,CTP,0.65,41
P00086,Kolda,urbain,public,0.7,80
P00087,Louga,rural,CTP,0.45,67
P00088,Kaffrine,rural,prive,0.55,28
P00089,Thiès,rural,public,0.15,100
P00090,Fatick,rural,public,0.4,99
P00091,Thiès,rural,CTP,0.15,19
P00092,Tambacounda,rural,CTP,0.75,31
