id_saisi,ecole_id,genre_saisi,anciennete,vague,visite1,visite2,visite3,visite4
1,E00001,Femme,0,2,P,P,P,A
1,E00001,Femme,2,2,P,P,P,A
3,E00001,Homme,19,2,A,P,A,A
4,E00001,Femme,6,2,P,P,A,P
5,E00002,Femme,11,2,P,P,P,P
6,E00002,Homme,5,2,P,P,P,P
7,E00002,Homme,4,2,P,P,P,P
8,E00002,Homme,13,2,P,P,P,P
9,E00002,Homme,0,2,P,P,P,P
10,E00003,Femme,0,2,P,P,P,P
11,E00003,Homme,6,2,P,A,P,P
12,E00003,Femme,18,2,A,A,P,A
33,E00004,Femme,5,2,ND,A,ND,P
14,E00004,Homme,12,2,P,P,P,P
16,E00004,Homme,8,2,P,P,A,P
18,E00004,Homme,16,2,P,P,P,P
20,E00004,Femme,5,2,P,P,P,P
21,E00005,Homme,13,2,P,P,A,A
29,E00005,Femme,23,2,P,P,P,P
23,E00005,Homme,15,2,P,P,P,A
24,E00005,Homme,7,2,P,P,A,P
25,E00006,Homme,3,2,P,P,P,A
26,E00006,Homme,0,2,P,A,P,A
27,E00007,Femme,20,2,P,P,P,P
28,E00007,Homme,21,2,P,P,P,P
29,E00007,Femme,13,2,P,P,P,P
30,E00007,Homme,18,2,P,P,P,P
31,E00007,Homme,10,2,P,P,ND,P
32,E00007,Femme,13,2,P,P,P,P
34,E00008,Homme,0,2,P,P,A,A
35,E00008,Homme,0,2,A,P,A,P
30,E00008,Homme,20,2,P,P,P,P
37,E00009,Homme,17,2,P,P,P,P
38,E00009,Homme,10,2,P,P,P,P
39,E00009,Femme,9,2,P,A,P,P
40,E00009,Homme,0,2,P,P,P,P
41,E00009,Homme,8,2,P,A,P,P
42,E00009,Homme,15,2,P,P,P,P
43,E00009,Femme,3,2,P,P,P,P
44,E00009,Homme,4,2,P,P,P,P
45,E00009,Homme,19,2,A,P,P,P
46,E00009,Homme,7,2,P,A,P,P
47,E00010,Femme,3,2,P,A,A,P
48,E00010,Homme,3,2,P,P,P,A
49,E00010,Homme,14,2,A,P,P,P
50,E00010,Homme,13,2,P,A,A,A
51,E00010,Homme,11,2,P,P,A,P
52,E00010,Femme,10,2,P,A,A,A
54,E00011,Femme,9,2,P,P,P,P
55,E00011,Homme,9,2,P,P,P,P
57,E00011,Homme,15,2,P,P,P,P
57,E00011,Homme,12,2,P,A,P,A
58,E00012,Homme,12,2,P,A,A,P
59,E00012,Femme,9,2,P,P,P,P
60,E00012,Femme,0,2,P,P,P,A
61,E00012,Homme,12,2,P,P,P,P
62,E00012,Homme,14,2,P,P,P,P
60,E00012,Homme,5,2,P,P,P,P
64,E00013,Homme,0,2,P,P,A,P
65,E00013,Homme,9,2,A,A,P,P
66,E00013,Femme,11,2,A,P,A,P
67,E00013,Femme,15,2,P,P,A,P
68,E00013,Homme,3,2,P,P,P,ND
69,E00013,Homme,18,2,P,P,P,P
70,E00013,Homme,18,2,P,A,P,P
71,E00013,Femme,18,2,P,P,P,P
72,E00013,Homme,4,2,A,P,P,P
73,E00013,Homme,7,2,P,A,P,P
74,E00013,Homme,0,2,A,P,P,P
75,E00014,Femme,0,2,A,ND,P,P
76,E00014,Femme,26,2,P,P,A,A
77,E00014,Femme,20,2,P,P,P,P
78,E00014,Femme,1,2,P,A,A,P
79,E00014,Homme,5,2,P,P,P,P
80,E00014,Homme,14,2,P,P,ND,P
81,E00015,Homme,6,2,P,P,P,P
82,E00015,Femme,3,2,P,P,P,P
83,E00015,Homme,27,2,P,P,P,P
84,E00015,Femme,2,2,P,P,P,P
87,E00016,Homme,10,2,A,A,A,P
86,E00016,Femme,2,2,P,ND,P,P
87,E00016,Homme,6,2,P,A,P,ND
88,E00016,Femme,19,2,P,P,P,P
89,E00016,Femme,14,2,ND,P,P,P
90,E00016,Homme,6,2,P,P,P,P
91,E00016,Femme,9,2,P,P,P,ND
92,E00016,Homme,14,2,P,P,P,P
93,E00016,Femme,13,2,P,P,P,P
94,E00016,Homme,19,2,P,P,P,P
95,E00016,Homme,8,2,P,P,P,P
97,E00016,Femme,5,2,P,ND,A,P
98,E00016,Femme,9,2,P,P,P,P
100,E00017,Homme,12,2,A,P,P,P
100,E00017,Homme,15,2,ND,A,A,P
103,E00017,Homme,4,2,A,P,P,A
105,E00018,Homme,5,2,A,P,P,P
105,E00018,Homme,12,2,A,P,P,P
106,E00018,Homme,0,2,P,P,A,A
107,E00018,Femme,6,2,P,P,P,P
108,E00018,Homme,18,2,A,A,P,P
109,E00019,Homme,3,2,P,P,ND,ND
110,E00019,Homme,18,2,A,P,P,P
111,E00020,Femme,12,2,P,P,P,P
112,E00020,Femme,7,2,P,P,A,P
113,E00020,Femme,14,2,P,P,A,P
114,E00021,Homme,3,2,P,A,P,P
185,E00021,Femme,0,2,A,A,P,A
116,E00021,Homme,15,2,P,A,P,P
117,E00021,Homme,8,2,P,P,P,P
