id,ia_id,g_ia,topic,topic_label,sentiment
V0001,IA06,-0.0988681852641089,4,4_on_claires_sur_informations,0.0
V0002,IA04,1.050436228132796,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0003,IA08,-0.5589055756131087,7,7_restent_rapide_faute_vacants,-0.5
V0004,IA08,-0.5589055756131087,7,7_restent_rapide_faute_vacants,-0.5
V0005,IA02,-0.6770804424361538,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0006,IA12,0.8036427494500231,5,5_nettement_ief_année_cette,0.5
V0007,IA09,1.508379536169013,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0008,IA11,0.5436260064330518,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0009,IA01,1.1358119908378483,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0010,IA10,-1.7249192939776967,4,4_on_claires_sur_informations,0.0
V0011,IA08,-0.5589055756131087,2,2_fluide_façon_se_fait,0.5
V0012,IA13,-0.5950300302811243,4,4_on_claires_sur_informations,0.0
V0013,IA09,1.508379536169013,7,7_restent_rapide_faute_vacants,-0.5
V0014,IA10,-1.7249192939776967,7,7_restent_rapide_faute_vacants,-0.5
V0015,IA03,0.4625650775900469,7,7_restent_rapide_faute_vacants,-0.5
V0016,IA11,0.5436260064330518,4,4_on_claires_sur_informations,0.0
V0017,IA04,1.050436228132796,5,5_nettement_ief_année_cette,0.5
V0018,IA02,-0.6770804424361538,4,4_on_claires_sur_informations,0.0
V0019,IA02,-0.6770804424361538,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0020,IA11,0.5436260064330518,0,0_anticipées_expliquées_affectation_décisions,0.5
V0021,IA01,1.1358119908378483,5,5_nettement_ief_année_cette,0.5
V0022,IA10,-1.7249192939776967,7,7_restent_rapide_faute_vacants,-0.5
V0023,IA06,-0.0988681852641089,7,7_restent_rapide_faute_vacants,-0.5
V0024,IA12,0.8036427494500231,4,4_on_claires_sur_informations,0.0
V0025,IA11,0.5436260064330518,2,2_fluide_façon_se_fait,0.5
V0026,IA01,1.1358119908378483,0,0_anticipées_expliquées_affectation_décisions,0.5
V0027,IA11,0.5436260064330518,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0028,IA02,-0.6770804424361538,3,3_retard_sans_notable_organisés,0.5
V0029,IA09,1.508379536169013,2,2_fluide_façon_se_fait,0.5
V0030,IA12,0.8036427494500231,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0031,IA05,-1.961883486465059,5,5_nettement_ief_année_cette,0.5
V0032,IA09,1.508379536169013,10,10_assurés_absents_temps_ne,-0.5
V0033,IA01,1.1358119908378483,1,1_traitées_rapidement_désormais_par,0.5
V0034,IA04,1.050436228132796,1,1_traitées_rapidement_désormais_par,0.5
V0035,IA01,1.1358119908378483,11,11_souvent_rentrée_trop_tard,-0.5
V0036,IA13,-0.5950300302811243,4,4_on_claires_sur_informations,0.0
V0037,IA14,0.361886464303974,1,1_traitées_rapidement_désormais_par,0.5
V0038,IA10,-1.7249192939776967,0,0_anticipées_expliquées_affectation_décisions,0.5
V0039,IA11,0.5436260064330518,0,0_anticipées_expliquées_affectation_décisions,0.5
V0040,IA13,-0.5950300302811243,0,0_anticipées_expliquées_affectation_décisions,0.5
V0041,IA13,-0.5950300302811243,10,10_assurés_absents_temps_ne,-0.5
V0042,IA04,1.050436228132796,9,9_lente_lisible_peu_avec,-0.5
V0043,IA15,-0.5128143979953421,10,10_assurés_absents_temps_ne,-0.5
V0044,IA09,1.508379536169013,1,1_traitées_rapidement_désormais_par,0.5
V0045,IA08,-0.5589055756131087,2,2_fluide_façon_se_fait,0.5
V0046,IA16,-0.4962851679537585,7,7_restent_rapide_faute_vacants,-0.5
V0047,IA05,-1.961883486465059,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0048,IA08,-0.5589055756131087,6,6_réactif_suivi_transparent_vacants,0.5
V0049,IA05,-1.961883486465059,9,9_lente_lisible_peu_avec,-0.5
V0050,IA15,-0.5128143979953421,11,11_souvent_rentrée_trop_tard,-0.5
V0051,IA10,-1.7249192939776967,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0052,IA01,1.1358119908378483,2,2_fluide_façon_se_fait,0.5
V0053,IA04,1.050436228132796,4,4_on_claires_sur_informations,0.0
V0054,IA01,1.1358119908378483,2,2_fluide_façon_se_fait,0.5
V0055,IA06,-0.0988681852641089,5,5_nettement_ief_année_cette,0.5
V0056,IA02,-0.6770804424361538,0,0_anticipées_expliquées_affectation_décisions,0.5
V0057,IA08,-0.5589055756131087,4,4_on_claires_sur_informations,0.0
V0058,IA05,-1.961883486465059,7,7_restent_rapide_faute_vacants,-0.5
V0059,IA07,0.7594385270695994,10,10_assurés_absents_temps_ne,-0.5
V0060,IA16,-0.4962851679537585,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0061,IA12,0.8036427494500231,7,7_restent_rapide_faute_vacants,-0.5
V0062,IA10,-1.7249192939776967,7,7_restent_rapide_faute_vacants,-0.5
V0063,IA06,-0.0988681852641089,4,4_on_claires_sur_informations,0.0
V0064,IA14,0.361886464303974,7,7_restent_rapide_faute_vacants,-0.5
V0065,IA06,-0.0988681852641089,11,11_souvent_rentrée_trop_tard,-0.5
V0066,IA11,0.5436260064330518,6,6_réactif_suivi_transparent_vacants,0.5
V0067,IA16,-0.4962851679537585,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0068,IA06,-0.0988681852641089,7,7_restent_rapide_faute_vacants,-0.5
V0069,IA02,-0.6770804424361538,10,10_assurés_absents_temps_ne,-0.5
V0070,IA14,0.361886464303974,3,3_retard_sans_notable_organisés,0.5
V0071,IA08,-0.5589055756131087,2,2_fluide_façon_se_fait,0.5
V0072,IA15,-0.5128143979953421,7,7_restent_rapide_faute_vacants,-0.5
V0073,IA07,0.7594385270695994,6,6_réactif_suivi_transparent_vacants,0.5
V0074,IA12,0.8036427494500231,9,9_lente_lisible_peu_avec,-0.5
V0075,IA04,1.050436228132796,1,1_traitées_rapidement_désormais_par,0.5
V0076,IA12,0.8036427494500231,2,2_fluide_façon_se_fait,0.5
V0077,IA10,-1.7249192939776967,7,7_restent_rapide_faute_vacants,-0.5
V0078,IA14,0.361886464303974,1,1_traitées_rapidement_désormais_par,0.5
V0079,IA03,0.4625650775900469,2,2_fluide_façon_se_fait,0.5
V0080,IA08,-0.5589055756131087,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0081,IA16,-0.4962851679537585,11,11_souvent_rentrée_trop_tard,-0.5
V0082,IA12,0.8036427494500231,2,2_fluide_façon_se_fait,0.5
V0083,IA10,-1.7249192939776967,7,7_restent_rapide_faute_vacants,-0.5
V0084,IA09,1.508379536169013,3,3_retard_sans_notable_organisés,0.5
V0085,IA11,0.5436260064330518,3,3_retard_sans_notable_organisés,0.5
V0086,IA15,-0.5128143979953421,1,1_traitées_rapidement_désormais_par,0.5
V0087,IA03,0.4625650775900469,3,3_retard_sans_notable_organisés,0.5
V0088,IA09,1.508379536169013,6,6_réactif_suivi_transparent_vacants,0.5
V0089,IA06,-0.0988681852641089,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0090,IA04,1.050436228132796,0,0_anticipées_expliquées_affectation_décisions,0.5
V0091,IA08,-0.5589055756131087,10,10_assurés_absents_temps_ne,-0.5
V0092,IA13,-0.5950300302811243,4,4_on_claires_sur_informations,0.0
V0093,IA09,1.508379536169013,1,1_traitées_rapidement_désormais_par,0.5
V0094,IA10,-1.7249192939776967,10,10_assurés_absents_temps_ne,-0.5
V0095,IA03,0.4625650775900469,10,10_assurés_absents_temps_ne,-0.5
V0096,IA09,1.508379536169013,3,3_retard_sans_notable_organisés,0.5
V0097,IA12,0.8036427494500231,4,4_on_claires_sur_informations,0.0
V0098,IA06,-0.0988681852641089,0,0_anticipées_expliquées_affectation_décisions,0.5
V0099,IA02,-0.6770804424361538,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0100,IA12,0.8036427494500231,9,9_lente_lisible_peu_avec,-0.5
V0101,IA01,1.1358119908378483,2,2_fluide_façon_se_fait,0.5
V0102,IA11,0.5436260064330518,0,0_anticipées_expliquées_affectation_décisions,0.5
V0103,IA04,1.050436228132796,4,4_on_claires_sur_informations,0.0
V0104,IA14,0.361886464303974,3,3_retard_sans_notable_organisés,0.5
V0105,IA09,1.508379536169013,0,0_anticipées_expliquées_affectation_décisions,0.5
V0106,IA16,-0.4962851679537585,9,9_lente_lisible_peu_avec,-0.5
V0107,IA10,-1.7249192939776967,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0108,IA02,-0.6770804424361538,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0109,IA04,1.050436228132796,1,1_traitées_rapidement_désormais_par,0.5
V0110,IA03,0.4625650775900469,1,1_traitées_rapidement_désormais_par,0.5
V0111,IA07,0.7594385270695994,6,6_réactif_suivi_transparent_vacants,0.5
V0112,IA15,-0.5128143979953421,10,10_assurés_absents_temps_ne,-0.5
V0113,IA02,-0.6770804424361538,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0114,IA04,1.050436228132796,3,3_retard_sans_notable_organisés,0.5
V0115,IA07,0.7594385270695994,5,5_nettement_ief_année_cette,0.5
V0116,IA10,-1.7249192939776967,7,7_restent_rapide_faute_vacants,-0.5
V0117,IA06,-0.0988681852641089,0,0_anticipées_expliquées_affectation_décisions,0.5
V0118,IA03,0.4625650775900469,3,3_retard_sans_notable_organisés,0.5
V0119,IA10,-1.7249192939776967,11,11_souvent_rentrée_trop_tard,-0.5
V0120,IA04,1.050436228132796,1,1_traitées_rapidement_désormais_par,0.5
V0121,IA02,-0.6770804424361538,9,9_lente_lisible_peu_avec,-0.5
V0122,IA01,1.1358119908378483,9,9_lente_lisible_peu_avec,-0.5
V0123,IA11,0.5436260064330518,9,9_lente_lisible_peu_avec,-0.5
V0124,IA09,1.508379536169013,6,6_réactif_suivi_transparent_vacants,0.5
V0125,IA14,0.361886464303974,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0126,IA02,-0.6770804424361538,11,11_souvent_rentrée_trop_tard,-0.5
V0127,IA07,0.7594385270695994,6,6_réactif_suivi_transparent_vacants,0.5
V0128,IA02,-0.6770804424361538,9,9_lente_lisible_peu_avec,-0.5
V0129,IA11,0.5436260064330518,1,1_traitées_rapidement_désormais_par,0.5
V0130,IA04,1.050436228132796,0,0_anticipées_expliquées_affectation_décisions,0.5
V0131,IA03,0.4625650775900469,6,6_réactif_suivi_transparent_vacants,0.5
V0132,IA08,-0.5589055756131087,2,2_fluide_façon_se_fait,0.5
V0133,IA13,-0.5950300302811243,2,2_fluide_façon_se_fait,0.5
V0134,IA14,0.361886464303974,11,11_souvent_rentrée_trop_tard,-0.5
V0135,IA16,-0.4962851679537585,1,1_traitées_rapidement_désormais_par,0.5
V0136,IA16,-0.4962851679537585,9,9_lente_lisible_peu_avec,-0.5
V0137,IA06,-0.0988681852641089,4,4_on_claires_sur_informations,0.0
V0138,IA05,-1.961883486465059,1,1_traitées_rapidement_désormais_par,0.5
V0139,IA05,-1.961883486465059,7,7_restent_rapide_faute_vacants,-0.5
V0140,IA05,-1.961883486465059,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0141,IA04,1.050436228132796,10,10_assurés_absents_temps_ne,-0.5
V0142,IA07,0.7594385270695994,1,1_traitées_rapidement_désormais_par,0.5
V0143,IA15,-0.5128143979953421,5,5_nettement_ief_année_cette,0.5
V0144,IA10,-1.7249192939776967,4,4_on_claires_sur_informations,0.0
V0145,IA10,-1.7249192939776967,6,6_réactif_suivi_transparent_vacants,0.5
V0146,IA09,1.508379536169013,2,2_fluide_façon_se_fait,0.5
V0147,IA04,1.050436228132796,6,6_réactif_suivi_transparent_vacants,0.5
V0148,IA06,-0.0988681852641089,5,5_nettement_ief_année_cette,0.5
V0149,IA16,-0.4962851679537585,6,6_réactif_suivi_transparent_vacants,0.5
V0150,IA06,-0.0988681852641089,11,11_souvent_rentrée_trop_tard,-0.5
V0151,IA14,0.361886464303974,0,0_anticipées_expliquées_affectation_décisions,0.5
V0152,IA09,1.508379536169013,1,1_traitées_rapidement_désormais_par,0.5
V0153,IA05,-1.961883486465059,10,10_assurés_absents_temps_ne,-0.5
V0154,IA11,0.5436260064330518,1,1_traitées_rapidement_désormais_par,0.5
V0155,IA07,0.7594385270695994,5,5_nettement_ief_année_cette,0.5
V0156,IA02,-0.6770804424361538,2,2_fluide_façon_se_fait,0.5
V0157,IA15,-0.5128143979953421,2,2_fluide_façon_se_fait,0.5
V0158,IA16,-0.4962851679537585,7,7_restent_rapide_faute_vacants,-0.5
V0159,IA12,0.8036427494500231,0,0_anticipées_expliquées_affectation_décisions,0.5
V0160,IA14,0.361886464303974,10,10_assurés_absents_temps_ne,-0.5
V0161,IA10,-1.7249192939776967,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0162,IA08,-0.5589055756131087,4,4_on_claires_sur_informations,0.0
V0163,IA04,1.050436228132796,10,10_assurés_absents_temps_ne,-0.5
V0164,IA08,-0.5589055756131087,0,0_anticipées_expliquées_affectation_décisions,0.5
V0165,IA15,-0.5128143979953421,5,5_nettement_ief_année_cette,0.5
V0166,IA06,-0.0988681852641089,9,9_lente_lisible_peu_avec,-0.5
V0167,IA03,0.4625650775900469,7,7_restent_rapide_faute_vacants,-0.5
V0168,IA11,0.5436260064330518,6,6_réactif_suivi_transparent_vacants,0.5
V0169,IA16,-0.4962851679537585,10,10_assurés_absents_temps_ne,-0.5
V0170,IA01,1.1358119908378483,3,3_retard_sans_notable_organisés,0.5
V0171,IA11,0.5436260064330518,6,6_réactif_suivi_transparent_vacants,0.5
V0172,IA07,0.7594385270695994,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0173,IA04,1.050436228132796,6,6_réactif_suivi_transparent_vacants,0.5
V0174,IA04,1.050436228132796,2,2_fluide_façon_se_fait,0.5
V0175,IA13,-0.5950300302811243,10,10_assurés_absents_temps_ne,-0.5
V0176,IA09,1.508379536169013,2,2_fluide_façon_se_fait,0.5
V0177,IA15,-0.5128143979953421,2,2_fluide_façon_se_fait,0.5
V0178,IA09,1.508379536169013,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0179,IA07,0.7594385270695994,1,1_traitées_rapidement_désormais_par,0.5
V0180,IA04,1.050436228132796,9,9_lente_lisible_peu_avec,-0.5
V0181,IA01,1.1358119908378483,2,2_fluide_façon_se_fait,0.5
V0182,IA11,0.5436260064330518,4,4_on_claires_sur_informations,0.0
V0183,IA04,1.050436228132796,2,2_fluide_façon_se_fait,0.5
V0184,IA06,-0.0988681852641089,0,0_anticipées_expliquées_affectation_décisions,0.5
V0185,IA11,0.5436260064330518,5,5_nettement_ief_année_cette,0.5
V0186,IA13,-0.5950300302811243,11,11_souvent_rentrée_trop_tard,-0.5
V0187,IA03,0.4625650775900469,3,3_retard_sans_notable_organisés,0.5
V0188,IA09,1.508379536169013,5,5_nettement_ief_année_cette,0.5
V0189,IA10,-1.7249192939776967,12,12_procédures_bloqué_interminables_maîtres,-0.5
V0190,IA10,-1.7249192939776967,5,5_nettement_ief_année_cette,0.5
V0191,IA13,-0.5950300302811243,0,0_anticipées_expliquées_affectation_décisions,0.5
V0192,IA02,-0.6770804424361538,3,3_retard_sans_notable_organisés,0.5
V0193,IA09,1.508379536169013,9,9_lente_lisible_peu_avec,-0.5
V0194,IA09,1.508379536169013,2,2_fluide_façon_se_fait,0.5
V0195,IA13,-0.5950300302811243,5,5_nettement_ief_année_cette,0.5
V0196,IA06,-0.0988681852641089,6,6_réactif_suivi_transparent_vacants,0.5
V0197,IA04,1.050436228132796,7,7_restent_rapide_faute_vacants,-0.5
V0198,IA16,-0.4962851679537585,10,10_assurés_absents_temps_ne,-0.5
V0199,IA13,-0.5950300302811243,7,7_restent_rapide_faute_vacants,-0.5
V0200,IA04,1.050436228132796,5,5_nettement_ief_année_cette,0.5
V0201,IA07,0.7594385270695994,1,1_traitées_rapidement_désormais_par,0.5
V0202,IA07,0.7594385270695994,6,6_réactif_suivi_transparent_vacants,0.5
V0203,IA15,-0.5128143979953421,9,9_lente_lisible_peu_avec,-0.5
V0204,IA14,0.361886464303974,5,5_nettement_ief_année_cette,0.5
V0205,IA03,0.4625650775900469,6,6_réactif_suivi_transparent_vacants,0.5
V0206,IA07,0.7594385270695994,2,2_fluide_façon_se_fait,0.5
V0207,IA12,0.8036427494500231,1,1_traitées_rapidement_désormais_par,0.5
V0208,IA05,-1.961883486465059,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0209,IA16,-0.4962851679537585,2,2_fluide_façon_se_fait,0.5
V0210,IA10,-1.7249192939776967,10,10_assurés_absents_temps_ne,-0.5
V0211,IA04,1.050436228132796,1,1_traitées_rapidement_désormais_par,0.5
V0212,IA09,1.508379536169013,4,4_on_claires_sur_informations,0.0
V0213,IA10,-1.7249192939776967,7,7_restent_rapide_faute_vacants,-0.5
V0214,IA15,-0.5128143979953421,1,1_traitées_rapidement_désormais_par,0.5
V0215,IA13,-0.5950300302811243,3,3_retard_sans_notable_organisés,0.5
V0216,IA11,0.5436260064330518,1,1_traitées_rapidement_désormais_par,0.5
V0217,IA04,1.050436228132796,9,9_lente_lisible_peu_avec,-0.5
V0218,IA07,0.7594385270695994,5,5_nettement_ief_année_cette,0.5
V0219,IA12,0.8036427494500231,3,3_retard_sans_notable_organisés,0.5
V0220,IA08,-0.5589055756131087,4,4_on_claires_sur_informations,0.0
V0221,IA02,-0.6770804424361538,10,10_assurés_absents_temps_ne,-0.5
V0222,IA09,1.508379536169013,3,3_retard_sans_notable_organisés,0.5
V0223,IA04,1.050436228132796,11,11_souvent_rentrée_trop_tard,-0.5
V0224,IA06,-0.0988681852641089,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0225,IA16,-0.4962851679537585,4,4_on_claires_sur_informations,0.0
V0226,IA06,-0.0988681852641089,6,6_réactif_suivi_transparent_vacants,0.5
V0227,IA01,1.1358119908378483,1,1_traitées_rapidement_désormais_par,0.5
V0228,IA07,0.7594385270695994,3,3_retard_sans_notable_organisés,0.5
V0229,IA09,1.508379536169013,2,2_fluide_façon_se_fait,0.5
V0230,IA07,0.7594385270695994,0,0_anticipées_expliquées_affectation_décisions,0.5
V0231,IA11,0.5436260064330518,9,9_lente_lisible_peu_avec,-0.5
V0232,IA05,-1.961883486465059,10,10_assurés_absents_temps_ne,-0.5
V0233,IA14,0.361886464303974,1,1_traitées_rapidement_désormais_par,0.5
V0234,IA12,0.8036427494500231,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0235,IA01,1.1358119908378483,6,6_réactif_suivi_transparent_vacants,0.5
V0236,IA14,0.361886464303974,11,11_souvent_rentrée_trop_tard,-0.5
V0237,IA04,1.050436228132796,0,0_anticipées_expliquées_affectation_décisions,0.5
V0238,IA02,-0.6770804424361538,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0239,IA11,0.5436260064330518,3,3_retard_sans_notable_organisés,0.5
V0240,IA09,1.508379536169013,0,0_anticipées_expliquées_affectation_décisions,0.5
V0241,IA11,0.5436260064330518,9,9_lente_lisible_peu_avec,-0.5
V0242,IA12,0.8036427494500231,1,1_traitées_rapidement_désormais_par,0.5
V0243,IA02,-0.6770804424361538,2,2_fluide_façon_se_fait,0.5
V0244,IA08,-0.5589055756131087,5,5_nettement_ief_année_cette,0.5
V0245,IA05,-1.961883486465059,8,8_mois_plusieurs_pourvus_ouverts,-0.5
V0246,IA13,-0.5950300302811243,0,0_anticipées_expliquées_affectation_décisions,0.5
V0247,IA15,-0.5128143979953421,11,11_souvent_rentrée_trop_tard,-0.5
V0248,IA12,0.8036427494500231,3,3_retard_sans_notable_organisés,0.5
